room_id,name,capacity
3812b0e3-cffe-4dc6-98e3-5ef07f4f5903,Кімната 100,10
3909a1a8-2651-42fd-9d3c-58e4a0eaea54,Кімната 101,25
69431a9e-6ff2-4e90-ae37-f567bfb1e2de,Кімната 102,25
b04bd8d2-7f3b-45c0-9442-af42ea734fbc,Кімната 103,10
92aad5ec-d3ed-496b-af3b-7d98d47c4a21,Кімната 104,20
bc52b9f5-1a93-4b97-bcbc-e961e8ae4caf,Кімната 105,5
7da38d2b-a975-4dce-bfdd-bf917743c0f2,Кімната 106,10
00459fb8-3615-4d3d-9642-29e4044a96e1,Кімната 107,10
590e8d48-0628-4077-8ded-38e1f313b4b3,Кімната 108,10
525c474e-969a-460b-9372-78f3d3fee68f,Кімната 109,20
fc4c692a-fbf3-481c-beda-e1ef04810785,Кімната 110,15
864bf18e-9413-4b1b-abf7-58c87b11d0f7,Кімната 111,5
55478df7-bf51-44fa-90c1-c844cc81ebe6,Кімната 112,10
5e1b63e9-88df-4b1e-af02-577801178916,Кімната 113,5
9b210a8e-cdeb-4982-8589-3a10e31f795b,Кімната 114,20
c62bfa06-868f-41d6-819f-4bc7eb5d0229,Кімната 115,20
8e6b6b94-9fd8-4a3d-89b3-71633efeb43b,Кімната 116,25
f21ce020-3fd9-4449-8705-56b5317549b1,Кімната 117,10
33383061-7844-4ede-8b26-9645554e4d24,Кімната 118,25
38e09861-053c-45cd-8365-5e46ef0917e5,Кімната 119,25
